,Monthly Sales Report from 1 May 2020 to 31 May 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,totalprofit
0,,,,Balances,,,Reserves,,,Available,,,
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,Beginning,,,83.72,,,72.38,,,11.34,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,Ending,,,"2.529,63",,,"2.496,42",,,33.21,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,Date,Payments Received,Amount Received,Fees,Refunds Sent,Amount Refunded,Refunded Fees,Payments Sent,Amount Sent,Other Debits,Other Credits,Net Amount,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,31/05/2020,0,10,1,1,3,0,5,6,7,8,9,14.0
15,30/05/2020,0,0.00,0.00,0,0.00,0.00,0,0.00,-12.07,0.00,-12.07,0.0
16,29/05/2020,0,0.00,0.00,0,0.00,0.00,1,-9.00,0.00,12.02,3.02,0.0
17,28/05/2020,0,0.00,-20.00,0,0.00,0.00,0,0.00,-26.98,50.53,3.55,-20.0
18,27/05/2020,37,10,-10,0,5,2,0,0.00,-437.77,0.00,0.00,7.0
19,26/05/2020,24,340.38,-2176,2,-19.45,0.94,0,0.00,-330.69,0.00,-30.58,-1854.1299999999999
20,25/05/2020,23,311.98,-20.36,0,0.00,0.00,0,0.00,-315.66,18.67,-5.37,291.62
21,24/05/2020,4,52.87,-3.48,0,0.00,0.00,0,0.00,-61.41,0.00,-12.02,49.39
22,23/05/2020,4,60.82,-3.82,0,0.00,0.00,0,0.00,-57.00,12.02,12.02,57.0
23,22/05/2020,6,79.72,-5.24,0,0.00,0.00,0,0.00,-74.48,0.00,0.00,74.48
24,21/05/2020,17,231.19,-15.08,0,0.00,0.00,0,0.00,-256.11,74.85,34.85,216.10999999999999
25,20/05/2020,17,227.15,-14.92,0,0.00,0.00,0,0.00,-224.25,0.00,-12.02,212.23000000000002
26,19/05/2020,7,90.65,-5.89,0,0.00,0.00,0,0.00,-84.76,0.00,0.00,84.76
27,18/05/2020,4,51.80,-3.44,0,0.00,0.00,0,0.00,-48.36,0.00,0.00,48.36
28,17/05/2020,7,90.65,-6.02,0,0.00,0.00,0,0.00,-96.72,12.09,0.00,84.63000000000001
29,16/05/2020,12,155.40,-10.32,0,0.00,0.00,0,0.00,-157.10,0.00,-12.02,145.08
30,15/05/2020,12,162.40,-10.62,0,0.00,0.00,0,0.00,-351.78,12.07,-187.93,151.78
31,14/05/2020,16,214.20,-14.06,0,0.00,0.00,0,0.00,-200.14,0.00,0.00,200.14
32,13/05/2020,15,201.25,-13.20,0,0.00,0.00,1,-8.84,-162.64,0.00,16.57,188.05
33,12/05/2020,7,107.65,-6.75,0,0.00,0.00,0,0.00,-24.09,0.00,76.81,100.9
34,11/05/2020,5,71.75,-4.60,0,0.00,0.00,0,0.00,-12.02,0.00,55.13,67.15
35,10/05/2020,10,129.50,-8.60,0,0.00,0.00,0,0.00,-250.00,0.00,-129.10,120.9
36,09/05/2020,9,116.55,-7.74,2,-16.50,0.76,0,0.00,-17.62,15.15,90.60,93.07000000000001
37,08/05/2020,6,77.70,-5.16,0,0.00,0.00,0,0.00,0.00,0.00,72.54,72.54
38,07/05/2020,0,0.00,0.00,2,-25.90,1.21,0,0.00,-24.48,12.07,-37.10,-24.689999999999998
39,06/05/2020,2,25.90,-1.72,0,0.00,0.00,0,0.00,-12.07,0.00,12.11,24.18
40,05/05/2020,0,0.00,0.00,1,-12.95,0.63,0,0.00,-18.67,12.02,-18.97,-12.319999999999999
41,04/05/2020,0,0.00,0.00,0,0.00,0.00,0,0.00,-12.02,12.07,0.05,0.0
42,03/05/2020,17,227.15,-14.92,4,-51.80,2.32,0,0.00,-324.09,0.00,-161.34,162.75
43,02/05/2020,19,273.31,-17.50,0,0.00,0.00,0,0.00,0.00,18.67,274.48,255.81
44,01/05/2020,0,0.00,0.00,0,0.00,0.00,1,-56.26,-12.02,44.92,-23.36,0.0
45,Total,280,"3.768,83",-266.29,11,-126.60,5.86,3,-74.10,"-3.605,00",319.17,21.87,
46,,,,,,,,,,,,,
