,0,1,2
0,14.0,2020-03-02,12.47
1,0.0,2020-03-03,24.74
2,0.0,2020-03-04,12.27
3,-20.0,2020-03-05,0.0
4,7.0,2020-03-06,50.41
5,-1854.13,2020-03-07,0.0
6,291.62,2020-03-08,0.0
7,49.39,2020-03-09,12.27
8,57.0,2020-03-10,0.0
9,74.48,2020-03-11,19.07
10,216.11,2020-03-12,0.0
11,212.23,2020-03-13,12.27
12,84.76,2020-03-14,57.25
13,48.36,2020-03-15,0.0
14,84.63000000000002,2020-03-16,37.17
15,145.08,2020-03-17,12.47
16,151.78,2020-03-18,0.0
17,200.14,2020-03-19,0.0
18,188.05,2020-03-20,0.0
19,100.9,2020-03-21,0.0
20,67.15,2020-03-22,0.0
21,120.9,2020-03-23,0.0
22,93.07,2020-03-24,0.0
23,72.54,2020-03-25,0.0
24,-24.69,2020-03-26,0.0
25,24.18,2020-03-27,0.0
26,-12.32,2020-03-28,23.860000000000007
27,0.0,2020-03-29,49.08
28,162.75,2020-03-30,220.86000000000004
29,255.81,2020-03-31,273.81
30,0.0,,
31,,,
32,,,
