created,fee,net
2020-06-01,5.770000000000001,112.61999999999999
2020-06-02,16.16,-3.209999999999999
2020-06-03,8.06,119.17
2020-06-04,12.829999999999997,258.88000000000005
2020-06-05,54.189999999999976,386.40999999999985
2020-06-06,17.789999999999996,327.84999999999997
2020-06-07,18.099999999999998,340.48999999999995
2020-06-08,23.629999999999995,458.1899999999998
2020-06-09,35.97999999999999,707.1299999999997
2020-06-10,45.769999999999975,804.3199999999995
2020-06-11,26.549999999999994,530.0
2020-06-12,45.749999999999986,543.8599999999998
2020-06-13,21.41,406.75
2020-06-14,24.400000000000002,489.2199999999998
2020-06-15,30.049999999999997,247.57000000000008
2020-06-16,17.299999999999997,324.12999999999994
2020-06-17,10.28,204.65000000000006
2020-06-18,11.479999999999999,218.58000000000007
2020-06-19,2.0900000000000003,38.599999999999994
2020-06-20,14.629999999999997,242.10000000000008
2020-06-21,10.100000000000001,194.83
2020-06-22,4.26,90.07
2020-06-23,0.68,12.27
2020-06-24,0.0,0.0
2020-06-25,7.539999999999999,147.95999999999998
2020-06-26,22.23,112.94999999999999
2020-06-27,6.699999999999999,87.69
2020-06-28,7.58,138.54999999999998
2020-06-29,10.899999999999999,231.31000000000003
2020-06-30,5.95,119.43999999999998
